OBJECTID,SOBI_ID,NAME,ADDRESS,DESCRIPTION,HAS_KIOSK,RACKS_AMOUNT,NETWORK_ID,SOBI_AREA_ID,LONGITUDE,LATITUDE,LAST_IMPORT_DATE
1,435,Gore Park - 74,"20 King Street East, Hamilton",,No,16,24,86,-79.8686635494232,43.2563168593987,2017-07-31
2,436,James North at Mulberry - 76,"200 James Street North, Hamilton",,No,20,24,86,-79.8667430877686,43.2618194527922,2017-07-31
3,527,Seedworks - 81B,"126 Catharine Street North, Hamilton",Outside SoBi Hamilton Office,No,16,24,86,-79.8636129498482,43.259111191991,2017-07-31
4,530,Cootes at York and King,"4 Cootes Drive, Hamilton",,No,12,24,86,-79.9504199624062,43.2656789801579,2017-07-31
5,535,Osler at Grant - 6,"89-101 Osler Drive, Hamilton",,No,10,24,86,-79.9426434441838,43.2595496051254,2017-07-31
6,536,Main at Whitney - 7,"1850, Main Street West, University Gardens, Ancaster, Hamilton, Ontario",,No,9,24,86,-79.9397903680801,43.2520523493589,2017-07-31
7,537,Osler at Main - 8,"1686 Main Street West, Hamilton",,No,10,24,86,-79.9342255404988,43.2572539435115,2017-07-31
8,538,Whitney at Lower Horning - 9,"377, Whitney Avenue, University Gardens, Hamilton, Ontario",,No,10,24,86,-79.9354198942367,43.2518522355378,2017-07-31
9,539,Sanders at Binkley - 12,"58, Sanders Boulevard, University Gardens, Hamilton, Ontario",,No,10,24,86,-79.9297991394997,43.2587537277254,2017-07-31
10,540,Sanders at Hollywood - 13,"26, Sanders Boulevard, University Gardens, Hamilton, Ontario",,No,10,24,86,-79.9264810904732,43.2599031676959,2017-07-31
11,541,King at Cline - 18,"1108 King Street West, Hamilton",,No,10,24,86,-79.9092948353051,43.2605367847852,2017-07-31
12,542,Sterling at Whitton - 19,"139, Sterling Street, Westdale, Hamilton, Ontario",,No,11,24,86,-79.9133658840373,43.2622271626907,2017-07-31
13,543,Sterling at Haddon - 20,"71 Sterling Street, Hamilton",,No,10,24,86,-79.9102672934532,43.2620255217978,2017-07-31
14,544,Westdale Library -21,"955 King Street West, Hamilton",,No,9,24,86,-79.9035966396332,43.2627159943772,2017-07-31
15,545,Emerson at Whitney -22,"202, Emerson Street, University Gardens, Hamilton, Ontario",,No,10,24,86,-79.9222158171462,43.2521423210113,2017-07-31
16,546,Rail Trail at Emerson - 23,"Hamilton Brantford Rail Trail, Emerson Street, Westdale, Hamilton, Ontario",,No,12,24,86,-79.9208028150996,43.2546745875963,2017-07-31
17,547,Westdale Village - 24,"25 Marion Avenue South, Hamilton",,No,11,24,86,-79.9050879478454,43.2620147788811,2017-07-31
18,548,Rail Trail at Stroud - 27,"Hamilton Brantford Rail Trail, Emerson Street, Westdale, Hamilton, Ontario",,No,10,24,86,-79.9166152756283,43.2535916384655,2017-07-31
19,549,Main at Columbia College - 28,"82 Newton Avenue, Hamilton",,No,10,24,86,-79.9078586697578,43.2585671813327,2017-07-31
20,550,Longwood at King - 30,"881, King Street West, Westdale, Hamilton, Ontario",,No,10,24,86,-79.9009418422827,43.2630174571678,2017-07-31
21,551,Longwood at Edgevale - 31,"78, Longwood Road North, Westdale, Hamilton, Ontario",,No,10,24,86,-79.8993094512,43.2662112220324,2017-07-31
22,552,Chedoke Stairs - 32,"Chedoke Park, Hamilton, Ontario",,No,10,24,86,-79.90823779724,43.2460802627748,2017-07-31
23,553,Main at Longwood - 33,"925, Main Street West, McMaster Innovation Park, Hamilton, Ontario",,No,10,24,86,-79.9024303171158,43.2588992373017,2017-07-31
24,554,Macklin at King - 34,"768, King Street West, McMaster Innovation Park, Hamilton, Ontario",,No,10,24,86,-79.8964982026467,43.2621672804245,2017-07-31
25,555,McMaster Innovation Park - 35,"175 Longwood Road South, Hamilton",,No,6,24,86,-79.9011786282063,43.2565688527085,2017-07-31
26,556,Dundurn Stairs - 36,"534, Dundurn Street South, Chedoke Park, Hamilton, Ontario",,No,10,24,86,-79.8947787566411,43.2465214141618,2017-07-31
27,557,Dundurn at Aberdeen - 38,"330-346 Dundurn Street South, Hamilton",,No,20,24,86,-79.8926559090614,43.251458458949,2017-07-31
28,558,Dundurn St S - 39,"229-233 Dundurn Street South, Hamilton",,No,10,24,86,-79.8909067737901,43.2548127612063,2017-07-31
29,559,Main at Dundurn - 40,"91 Dundurn Street South, Hamilton",,No,11,24,86,-79.8892092704773,43.2596630111222,2017-07-31
30,560,King at Dundurn - 42,"9-11 Dundurn Street North, Hamilton",,No,10,24,86,-79.8879808187485,43.2624093356692,2017-07-31
31,562,Charlton at Locke - 44,"La Jardinere Flowers, 246, Locke Street South, Hess Village, Hamilton, Ontario",,No,10,24,86,-79.886746253805,43.2533465230541,2017-07-31
32,563,Locke at Hunter - 45,"137, Locke Street South, Hess Village, Hamilton, Ontario",,No,10,24,86,-79.885101467371,43.2565561553962,2017-07-31
33,564,Locke at Napier - 46,"64, Locke Street North, Hess Village, Hamilton, Ontario",,No,10,24,86,-79.8827367298478,43.2628018805713,2017-07-31
34,565,York at Inchbury - 47,"460 York Boulevard, Hamilton",,No,10,24,86,-79.8819495909127,43.2659146108256,2017-07-31
